batch_id,wl_1000,wl_1100,wl_1200,wl_1300,wl_1400,wl_1500,wl_1600,wl_1700,wl_1800,wl_1900,wl_2000,wl_2100,wl_2200,wl_2300,wl_2400,moisture_pct_ref
B001,0.2225,0.2341,0.2476,0.2833,0.3249,0.3277,0.3692,0.3982,0.4193,0.4565,0.4818,0.526,0.5357,0.5502,0.5775,2.914
B002,0.1996,0.2441,0.2557,0.2873,0.3222,0.3342,0.3652,0.3764,0.4107,0.4425,0.4791,0.5135,0.5281,0.5576,0.5834,2.896
B003,0.2195,0.2445,0.2651,0.2791,0.3251,0.3468,0.3821,0.3964,0.443,0.4468,0.4932,0.5052,0.5258,0.5465,0.5831,2.933
B004,0.2327,0.2555,0.2832,0.2815,0.3413,0.3687,0.3866,0.4148,0.45,0.4962,0.4974,0.5326,0.5794,0.5903,0.6201,3.421
B005,0.2094,0.2229,0.2643,0.2768,0.3246,0.3426,0.3922,0.399,0.4366,0.4368,0.4754,0.5067,0.5477,0.5403,0.5938,2.923
B006,0.2719,0.3205,0.3514,0.3839,0.4174,0.4492,0.5028,0.5381,0.5993,0.6122,0.6606,0.6809,0.7318,0.7775,0.8222,5.8
B007,0.2285,0.2415,0.2588,0.3026,0.3311,0.3589,0.375,0.4213,0.4388,0.473,0.5067,0.5281,0.5528,0.5995,0.6084,3.199
B008,0.2038,0.2344,0.2745,0.2873,0.3178,0.351,0.3604,0.3747,0.4214,0.4472,0.4653,0.5065,0.5303,0.5408,0.5823,2.84
B009,0.2054,0.2192,0.2651,0.2867,0.3063,0.3456,0.3718,0.3877,0.4241,0.4568,0.4661,0.5036,0.5264,0.5757,0.561,2.87
B010,0.2183,0.2358,0.2653,0.3127,0.3211,0.371,0.3716,0.407,0.426,0.4515,0.4864,0.5104,0.5427,0.5471,0.6156,3.07
B011,0.2111,0.258,0.2582,0.2989,0.3554,0.3428,0.3643,0.4015,0.4394,0.4694,0.5031,0.5154,0.5296,0.5691,0.6136,3.139
B012,0.2286,0.2345,0.2839,0.3283,0.3658,0.3803,0.4079,0.4225,0.4566,0.4956,0.5303,0.5612,0.5808,0.6042,0.6381,3.698
B013,0.2063,0.2531,0.2524,0.301,0.3377,0.3773,0.3916,0.4297,0.4445,0.4699,0.4994,0.5503,0.5738,0.5976,0.6548,3.394
B014,0.211,0.245,0.2693,0.2914,0.3442,0.3635,0.3619,0.3993,0.435,0.466,0.4721,0.4905,0.5214,0.5672,0.5943,3.066
B015,0.2046,0.2187,0.2394,0.2566,0.3054,0.3311,0.3625,0.3858,0.4012,0.4418,0.4522,0.4722,0.4989,0.5235,0.5329,2.557
